Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" Shigeru Chiba,  Atsushi Igarashi,  Salikh Zakirov",OOPSLA,2010,"Mostly Modular Compilation of Crosscutting Concerns by Contextual Predicate Dispatch","type checking","unoptimized product-based analysis","composition-based implementation","domain-independent specification","source code / program","CIZ:OOPSLA10"
" Karl Klose,  Klaus Ostermann",OOPSLA,2010,"Modular Logic Metaprogramming","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","KO:OOPSLA10, CSUR14, PhD15"
" Marcio Ribeiro,  Humberto Pacheco,  Leopoldo Teixeira,  Paulo Borba",SPLASH,2010,"Emergent Feature Modularization","static analysis","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","RPRB:SPLASH10, CSUR14, PhD15"
" Slawomir Duszynski",SPLC,2010,"Visualizing and Analyzing Software Variability With Bar Diagrams and Occurrence Matrices","variant-preserving migration","product-family-based analysis","product-based implementation","","source code / program","D:SPLC10, specification undefined (none)"
" Sebastian Oster,  Florian Markert,  Philipp Ritter",SPLC,2010,"Automated Incremental Pairwise Testing of Software Product Lines","testing","sample-based analysis","implementation independent","","source code / program","OMR:SPLC10, specification undefined (none)"
" Vanessa Stricker,  Andreas Metzger,  Klaus Pohl",SPLC,2010,"Avoiding Redundant Testing in Application Engineering","static analysis, testing","regression-based analysis","implementation undefined","specification undefined","design","SMP:SPLC10"
" Thilo Mende,  Rainer Koschke,  Felix Beckwermert",JSME,2009,"An Evaluation of Code Similarity Identification for the Grow-and-Prune Model","variant-preserving migration","product-based analysis","product-based implementation","","source code / program","MKB:JSME09, specification undefined (none)"
" Reinhard Tartler,  Julio Sincero,  Wolfgang Schr&ouml;der-Preikschat,  Daniel Lohmann",FOSD,2009,"Dead or Alive: Finding Zombie Features in the Linux Kernel","family-specific analysis","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","TSS+:FOSD09, CSUR14, PhD15"
"Martin Kuhlemann, Don Batory, Christian K&auml;stner",GPCE,2009,"Safe Composition of Non-Monotonic Features","type checking","family-based analysis","feature modules","domain-independent specification","source code / program","KBK:GPCE09, compared to none, CSUR14, PhD15"
" Kim Lauenroth,  Klaus Pohl,  Simon Toehning",ASE,2009,"Model Checking of Domain Artifacts in Product Line Engineering","model checking","family-based analysis","annotation-based implementation","feature-based specification","design","LPT:ASE09, CSUR14, PhD15"
" Benjamin Delaware,  William Cook,  Don Batory",ESECFSE,2009,"Fitting the Pieces Together: A Machine-Checked Model of Safe Composition","type checking","feature-family-based analysis","composition-based implementation","domain-independent specification","source code / program","DCB:ESECFSE09, compared to single product, CSUR14, PhD15"
"Benjamin Delaware, William Cook, Don Batory",FOAL,2009,"A Machine-Checked Model of Safe Composition","type checking","feature-family-based analysis","composition-based implementation","domain-independent specification","source code / program","DCB:FOAL09subsumedbyDCB:ESECFSE09, CSUR14, PhD15"
" Florian Heidenreich",FOSD,2009,"Towards Systematic Ensuring Well-Formedness of Software Product Lines","type checking","family-based analysis","annotation-based implementation","domain-independent specification","design","H:FOSD09, compared to none, CSUR14, PhD15"
" Erika Mir Olimpiew,  Hassan Gomaa",ICSR,2009,"Reusable Model-Based Testing","testing","feature-product-based analysis","composition-based implementation","","source code / program","OG:ICSR09, domain-independent specification?"
" Patrizia Asirelli,  Maurice H. ter Beek,  Stefania Gnesi,  Alessandro Fantechi",VAMOS,2009,"Deontic Logics for Modeling Behavioural Variability - Research in Progress","model checking","family-based analysis","annotation-based implementation","family-based specification","design","ABGF:VaMoS09subsumedbyABFG:ISoLA12, CSUR14, PhD15"
" Don Batory,  Egon B&ouml;rger",JUCS,2008,"Modularizing Theorems for Software Product Lines: The Jbook Case Study","theorem proving","feature-product-based analysis","composition-based implementation","feature-based specification","theory","BB08, CSUR14, PhD15"
" Myra B. Cohen,  Matthew B. Dwyer,  Jiangfan Shi",TSE,2008,"Constructing Interaction Test Suites for Highly-Configurable Systems in the Presence of Constraints: A Greedy Approach","","","","","","CDS:TSE08"
"Sven Apel, Christian K&auml;stner, Christian Lengauer",GPCE,2008,"Feature Featherweight Java: A Calculus for Feature-Oriented Programming and Stepwise Refinement","type checking","unoptimized product-based analysis","composition-based implementation","domain-independent specification","source code / program","AKL:GPCE08, CSUR14, PhD15"
