Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" Elias Kuiter,  Alexander Kn&uuml;ppel,  Tabea Bordis,  Tobias Runge,  Ina Schaefer",VAMOS,2022,"Verification Strategies for Feature-Oriented Software Product Lines","theorem proving","feature-family-based analysis, feature-product-based analysis, optimized product-based analysis","feature modules, composition-based implementation","feature-based specification","source code","KKB+:VaMoS22, KeY, KeYPl, FeatureHouse, variability encoding"
" Marc Hentze,  Tobias Pett,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2021,"Hyper Explanations for Feature-Model Defect Analysis","feature-model analysis","family-based analysis","implementation independent","specification independent","","HPTS:VaMoS21"
" Tobias Pett,  Sebastian Krieter,  Tobias Runge,  Thomas Th&uuml;m,  Malte Lochau,  Ina Schaefer",VAMOS,2021,"Stability of Product-Line Sampling in Continuous Integration","","sample-based analysis","implementation independent","specification independent","program","PKR+:VaMoS21"
" Chico Sundermann,  Michael Nieke,  Paul Maximilian Bittner,  Tobias He&szlig;,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2021,"Applications of #SAT Solvers on Feature Models","feature-model analysis","family-based analysis","implementation independent","specification independent","","SNB+:VaMoS21"
" Maurice H. ter Beek,  Axel Legay,  Alberto Lluch Lafuente,  Andrea Vandin",TSE,2020,"A Framework for Quantitative Modeling and Analysis of Highly (Re)Configurable Systems","statistical model checking","unoptimized product-based analysis","family-based implementation","specification independent","design","BLLV:TSE20, tool, evaluation, no proof, QFLan, MultiVeSta"
" Tabea Bordis,  Tobias Runge,  Alexander Kn&uuml;ppel,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"Variational Correctness-by-Construction","theorem proving","optimized product-based analysis","feature modules, composition-based implementation","feature-based specification","source code","BRK+:VaMoS20, CorC, KeY"
" Sebastian Krieter,  Thomas Th&uuml;m,  Sandro Schulze,  Gunter Saake,  Thomas Leich",VAMOS,2020,"YASA: Yet Another Sampling Algorithm","testing","sample-based analysis","implementation independent","specification independent","program","KTS+:VaMoS20"
" Joshua Sprey,  Chico Sundermann,  Sebastian Krieter,  Michael Nieke,  Jacopo Mauro,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"SMT-Based Variability Analyses in FeatureIDE","feature-model analysis","family-based analysis","implementation independent","specification independent","","SSK+:VaMoS20"
" Chico Sundermann,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"Evaluating #SAT Solvers on Industrial Feature Models","feature-model analysis","family-based analysis","implementation independent","specification independent","","STS:VaMoS20"
" Vitor Rodrigues,  Simone Donetti,  Ferruccio Damiani",SOSYM,2019,"Certifying Delta-Oriented Programs","theorem proving","feature-product-based analysis","delta modules, family-based implementation","family-based specification","source code","RDD:SoSyM19, tool, evaluation, no proof, COQ"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Benoit Baudry",EMSE,2019,"Test Them All, Is It Worth It? Assessing Configuration Sampling on the JHipster Web Development Stack","testing","sample-based analysis","implementation independent","specification independent","program","HNA+:EMSE19"
" Dennis Reuling,  Udo Kelter,  Johannes B&uuml;rdek,  Malte Lochau",TOSEM,2019,"Automated N-Way Program Merging for Facilitating Family-Based Analyses of Variant-Rich Software","model checking, test-case generation, variant-preserving migration","product-family-based analysis","product-based implementation","domain-independent specification","source code","RKBL:TOSEM19, control-flow automaton, tool, evaluation, SiMPOSE, C programs"
" Thomas Th&uuml;m,  Alexander Kn&uuml;ppel,  Stefan Kr&uuml;ger,  Stefanie Bolle,  Ina Schaefer",JSS,2019,"Feature-Oriented Contract Composition","analysis method independent","analysis strategy undefined","feature modules, feature-based implementation","feature-based specification","source code","TKK+:JSS19, tool, evaluation, no proof, FeatureIDE, FeatureHouse"
" Jose A. Galindo,  David Benavides,  Pablo Trinidad,  Antonio-Manuel Gutierrez-Fernandez,  Antonio Ruiz-Cortes",COMPUTING,2019,"Automated Analysis of Feature Models: Quo Vadis?","feature-model analysis","family-based analysis","implementation independent","specification independent","","GBT+:Computing19"
" Mustafa Al-Hajjaji,  Thomas Th&uuml;m,  Malte Lochau,  Jens Meinicke,  Gunter Saake",SOSYM,2019,"Effective Product-Line Testing Using Similarity-Based Product Prioritization","testing","sample-based analysis","implementation independent","specification independent","program","ATL+:SoSyM19"
"Michael Lettner, Jorge Rodas, Jose A. Galindo, David Benavides",COLA,2019,"Automated Analysis of Two-Layered Feature Models With Feature Attributes","feature-model analysis","family-based analysis","implementation independent","specification independent","","LRGB:COLA19"
" Gabriela Sampaio,  Paulo Borba,  Leopoldo Teixeira",JSS,2019,"Partially Safe Evolution of Software Product Lines","static analysis","family-based analysis","implementation independent","","theory","SBT:JSS19, evaluation"
" Maurice H. ter Beek, Ferruccio Damiani, Stefania Gnesi, Franco Mazzanti, Luca Paolini",SCP,2019,"On the Expressiveness of Modal Transition Systems With Variability Constraints","analysis method undefined","analysis strategy undefined","family-based implementation","specification undefined","design","BDG+:SCP19, no tool, no evaluation, proof, FTS, MTS"
" Lars Luthmann,  Timo Gerecht,  Malte Lochau",STTT,2019,"Sampling Strategies for Product Lines With Unbounded Parametric Real-Time Constraints","testing","sample-based analysis","implementation independent","family-based specification","program","LGL:STTT19, tool, evaluation"
" David Fernandez-Amoros,  Ruben Heradio,  Christoph Mayr-Dorn,  Alexander Egyed",SPLC,2019,"A KConfig Translation to Logic With One-Way Validation System","feature-model analysis","family-based analysis","implementation independent","specification independent","","FAH+:SPLC19"
" Daniel-Jesus Munoz,  Jeho Oh,  Monica Pinto,  Lidia Fuentes,  Don Batory",SPLC,2019,"Uniform Random Sampling Product Configurations of Feature Models That Have Numerical Features","","","","","","MOP+:SPLC19"
" Jeho Oh,  Paul Gazzillo,  Don Batory,  Marijn Heule,  Maggie Myers",(techreport),2019,"Uniform Sampling From Kconfig Feature Models","","","","","","OGB+:TR19"
" Jianmei Guo,  Dingyu Yang,  Norbert Siegmund,  Sven Apel,  Atrisha Sarkar,  Pavel Valov,  Krzysztof Czarnecki,  Andrzej Wasowski,  Huiqun Yu",EMSE,2018,"Data-Efficient Performance Learning for Configurable Systems","performance analysis","sample-based analysis","implementation independent","specification independent","program","GYS+:EMSE18"
" Iago Abal,  Jean Melo,  Stefan Stanciulescu,  Claus Brabrand,  Marcio Ribeiro,  Andrzej Wasowski",TOSEM,2018,"Variability Bugs in Highly Configurable Systems: A Qualitative Analysis","analysis method undefined","sample-based analysis","implementation independent","","","AMS+:TOSEM18, no tool, evaluation"
"Aleksandar S. Dimovski, Claus Brabrand, Andrzej Wasowski",SCP,2018,"Variability Abstractions for Lifted Analyses","data-flow analysis","family-based analysis","preprocessor, family-based implementation","domain-independent specification","source code","DBW:SCP18, tool, evaluation"
" Michael Nieke,  Jacopo Mauro,  Christoph Seidl,  Thomas Th&uuml;m,  Ingrid Chieh Yu,  Felix Franzke",GPCE,2018,"Anomaly Analyses for Feature-Model Evolution","feature-model analysis","family-based analysis","implementation independent","specification independent","","NMS+:GPCE18"
" Sebastian Ruland,  Lars Luthmann,  Johannes B&uuml;rdek,  Sascha Lity,  Thomas Th&uuml;m,  Malte Lochau,  Marcio Ribeiro",GPCE,2018,"Measuring Effectiveness of Sample-Based Product-Line Testing","test-case generation, testing","family-product-based analysis, sample-based analysis","preprocessor, runtime variability, family-based implementation","specification independent","source code","RLB+:GPCE18, tool, evaluation, MiLu, CPAchecker, CPATiger, FeatureIDE, SiMPOSE"
" Michael Nieke,  Christoph Seidl,  Thomas Th&uuml;m",VARIVOLUTION,2018,"Back to the Future: Avoiding Paradoxes in Feature-Model Evolution","feature-model analysis","family-based analysis","implementation independent","specification independent","","NST:VariVolution18"
"Andrea Vandin,  Maurice H. ter Beek, Axel Legay,  Alberto Lluch Lafuente",FM,2018,"QFLan: A Tool for the Quantitative Analysis of Highly Reconfigurable Systems","statistical model checking","unoptimized product-based analysis","family-based implementation","family-based specification","design","VBLL:FM18, tool, evaluation, no proof, QFLan, MultiVeSta"
" Davide Basile,  Maurice H. ter Beek,  Stefania Gnesi",SPLC,2018,"Modelling and Analysis With Featured Modal Contract Automata","synthesis","unoptimized product-based analysis","services, family-based implementation","domain-independent specification","design","BBG:SPLC18, tool, evaluation, no proof, FMCAT, FeatureIDE"
" Lukas Linsbauer,  Roberto Erick Lopez-Herrejon,  Alexander Egyed",SOSYM,2017,"Variability Extraction and Modeling for Product Variants","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","LLE:SoSyM17, tool, evaluation"
" Aleksandar S. Dimovski,  Ahmad Salim Al-Sibahi,  Claus Brabrand,  Andrzej Wasowski",STTT,2017,"Efficient Family-Based Model Checking via Variability Abstractions","model checking","family-based analysis","preprocessor, family-based implementation","family-based specification","design","DABW:STTT17, tool, evaluation, LTL, fLTL, fPromela, FTS"
" Thiago N. Ferreira,  Jackson A. Prado Lima,  Andrei Strickler,  Josiel N. Kuk,  Silvia R. Vergilio,  Aurora Pozo",CIM,2017,"Hyper-Heuristic Based Product Selection for Software Product Line Testing","testing","sample-based analysis","implementation independent","specification independent","program","FLS+:CIM17"
"Alexander Grebhahn, Carmen Rodrigo, Norbert Siegmund, Francisco Jose Gaspar, Sven Apel",CCPE,2017,"Performance-Influence Models of Multigrid Methods: A Case Study on Triangular Grids","performance analysis","sample-based analysis","implementation independent","specification independent","program","GRS+:CCPE17"
"Andre Lanna, Thiago Castro, Vander Alves, Genaina Rodrigues, Pierre-Yves Schobbens, Sven Apel",IST,2017,"Feature-Family-Based Reliability Analysis of Software Product Lines","model checking","feature-family-based analysis","family-based implementation, feature-based implementation","","design","LCA+:IST17, tool, evaluation, ADD"
"Jens Meinicke, Thomas Th&uuml;m, Reimar Schr&ouml;ter, Fabian Benduhn, Thomas Leich, Gunter Saake",(book),2017,"Mastering Software Variability With FeatureIDE","family-specific analysis, feature-model analysis, static analysis, syntax checking, testing, type checking","family-based analysis, sample-based analysis, unoptimized product-based analysis","preprocessor, runtime variability, plug-ins, feature modules, aspects, implementation independent","domain-independent specification, feature-based specification, family-based specification","source code","MTS+17, tool, no evaluation"
"Fabian Benduhn, Thomas Th&uuml;m, Ina Schaefer, Gunter Saake",ICFEM,2017,"Modularization of Refinement Steps for Agile Formal Methods","model checking, theorem proving","unoptimized product-based analysis","feature-based implementation","feature-based specification","requirements, design, source code","BTSG:ICFEM17, feature moduldes, tool, evaluation, ASM, FeatureHouse, AsmetaL, FeatureIDE"
" Sebastian Krieter,  Marcus Pinnecke,  Jacob Kr&uuml;ger,  Joshua Sprey,  Christopher Sontag,  Thomas Th&uuml;m,  Thomas Leich,  Gunter Saake",SPLC,2017,"FeatureIDE: Empowering Third-Party Developers","feature-model analysis","family-based analysis","implementation independent","specification independent","source code","KPK+:SPLC17, tool, no evaluation, no proof"
" Mustafa Al-Hajjaji,  Sascha Lity,  Remo Lachmann,  Thomas Th&uuml;m,  Ina Schaefer,  Gunter Saake",VACE,2017,"Delta-Oriented Product Prioritization for Similarity-Based Product-Line Testing","testing","sample-based analysis","delta modules, family-based implementation","specification independent","source code, program","ALL+:VACE17"
" Davide Basile,  Maurice H. ter Beek,  Felicita Di Giandomenico,  Stefania Gnesi",DSPL,2017,"Orchestration of Dynamic Service Product Lines With Featured Modal Contract Automata","synthesis","unoptimized product-based analysis","services, family-based implementation","domain-independent specification","design","BBGG:DSPL17subsumedbyBBG:SPLC18, tool, no evaluation, no proof, FMCAT, FeatureIDE"
" Paul Gazzillo",ESECFSE,2017,"Kmax: Finding All Configurations of Kbuild Makefiles Statically","family-specific analysis, syntax checking","family-based analysis","build system, preprocessor, family-based implementation","","source code","G:ESECFSE17, domain-independet specification, tool, evaluation, BDD"
" Maurice H. ter Beek,  Erik P. de Vink,  Tim A. C. Willemse",FASE,2017,"Family-Based Model Checking With mCRL2","model checking","family-based analysis","family-based implementation","family-based specification","design","BVW:FASE17, tool, evaluation, mCRL2, FTS"
" Aleksandar S. Dimovski,  Andrzej Wasowski",FASE,2017,"Variability-Specific Abstraction Refinement for Family-Based Model Checking","model checking","family-based analysis","preprocessor, family-based implementation","family-based specification","design","DW:FASE17, tool, evaluation, fLTL, fPromela, FTS, LTL, SPIN"
" Helson L. Jakubovski Filho,  Jackson A. Prado Lima,  Silvia R. Vergilio",SBES,2017,"Automatic Generation of Search-Based Algorithms Applied to the Feature Testing of Software Product Lines","testing","sample-based analysis","implementation independent","specification independent","program","FLV:SBES17"
" Sascha El-Sharkawy,  Adam Krafczyk,  Klaus Schmid",SPLC,2017,"An Empirical Study of Configuration Mismatches in Linux","family-specific analysis","family-based analysis","preprocessor, family-based implementation","domain-independent specification","source code","ESKS:SPLC17, tool, evaluation, no proof, SAT"
" Lars Luthmann,  Andreas Stephan,  Johannes B&uuml;rdek,  Malte Lochau",SPLC,2017,"Modeling and Testing Product Lines With Unbounded Parametric Real-Time Constraints","test-case generation","family-based analysis","implementation independent","family-based specification","program","LSBL:SPLC17, tool, evaluation, SAT, Sat4J, Uppaal, CoPTA, IMITATOR"
"Jacopo Mauro, Michael Nieke, Christoph Seidl, Ingrid Chieh Yu",SPLC,2017,"Anomaly Detection and Explanation in Context-Aware Software Product Lines","feature-model analysis","family-based analysis","implementation independent","specification independent","","MNS+:SPLC17, tool"
" Alexander Schlie,  David Wille,  Sandro Schulze,  Loek Cleophas,  Ina Schaefer",SPLC,2017,"Detecting Variability in MATLAB/Simulink Models: An Industry-Inspired Technique and Its Evaluation","variant-preserving migration","product-family-based analysis","clone-and-own, product-based implementation","specification independent","model","SWS+:SPLC17"
" Ferruccio Damiani,  Reiner H&auml;hnle,  Michael Lienhardt",TAP,2017,"Abstraction Refinement for the Analysis of Software Product Lines","static analysis, theorem proving","family-based analysis","delta modules, family-based implementation","family-based specification","source code","DHL:TAP17, no tool, no evaluation, no proof"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Patrick Heymans",VAMOS,2017,"Yo Variability! JHipster: A Playground for Web-Apps Analyses","testing","sample-based analysis","implementation independent","specification independent","program","HNA+:VaMoS17subsumedbyHNA+:EMSE19"
" David Wille,  Tobias Runge,  Christoph Seidl,  Sandro Schulze",VAMOS,2017,"Extractive Software Product Line Engineering Using Model-based Delta Module Generation","variant-preserving migration","product-family-based analysis","clone-and-own, product-based implementation","specification independent","model","WRSS:VaMoS17"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Benoit Baudry",(techreport),2017,"Test Them All, Is It Worth It? A Ground Truth Comparison of Configuration Sampling Strategies","testing","sample-based analysis","implementation independent","specification independent","program","HNA+:TR17subsumedbyHNA+:EMSE19"
" Rui Angelo Matnei Filho,  Silvia Regina Vergilio",JSERD,2016,"A Multi-Objective Test Data Generation Approach for Mutation Testing of Feature Models","testing","sample-based analysis","implementation independent","specification independent","program","MFV:JSERD16"
" Harsh Beohar,  Mahsa Varshosaz,  Mohammad Reza Mousavi",SCP,2016,"Basic Behavioral Models for Software Product Lines: Expressiveness and Testing Pre-Orders","","","annotation-based implementation","","design","BVM:SCP16, survey"
" Alexander von Rhein,  Thomas Th&uuml;m,  Ina Schaefer,  J&ouml;rg Liebig,  Sven Apel",JLAMP,2016,"Variability Encoding: From Compile-Time to Load-Time Variability","analysis method independent","family-based analysis","preprocessor, family-based implementation","specification independent","source code","RTS+:JLAMP16, tool, proof"
"Maurice H. ter Beek, Alessandro Fantechi, Stefania Gnesi, Franco Mazzanti",JLAMP,2016,"Modelling and Analysing Variability in Product Families: Model Checking of Modal Transition Systems With Variability Constraints","model checking","family-based analysis","family-based implementation","family-based specification","design","BFGM:JLAMP16, MTS, tool, proof, no evaluation, VMC"
" Mustafa Al-Hajjaji,  Sebastian Krieter,  Thomas Th&uuml;m,  Malte Lochau,  Gunter Saake",GPCE,2016,"IncLing: Efficient Product-line Testing Using Incremental Pairwise Sampling","","","","","","AKT+:GPCE16"
" Mustafa Al-Hajjaji,  Jens Meinicke,  Sebastian Krieter,  Reimar Schr&ouml;ter,  Thomas Th&uuml;m,  Thomas Leich,  Gunter Saake",GPCE,2016,"Tool Demo: Testing Configurable Systems With FeatureIDE","","","","","","AMK+:GPCE16"
" Jens Meinicke,  Chu-Pan Wong,  Christian K&auml;stner,  Thomas Th&uuml;m,  Gunter Saake",ASE,2016,"On Essential Configuration Complexity: Measuring Interactions in Highly-Configurable Systems","testing","family-based analysis","runtime variability","specification independent","program","MWK+:ASE16, tool, evaluation"
" Sebastian Krieter,  Reimar Schr&ouml;ter,  Thomas Th&uuml;m,  Wolfram Fenske,  Gunter Saake",SPLC,2016,"Comparing Algorithms for Efficient Feature-Model Slicing","feature-model analysis","family-based analysis","implementation independent","","","KST+:SPLC16, tool"
" Tristan Pfofe,  Thomas Th&uuml;m,  Sandro Schulze,  Wolfram Fenske,  Ina Schaefer",SPLC,2016,"Synchronizing Software Variants With VariantSync","variant-preserving migration","unoptimized product-based analysis","clone-and-own","","source code","PTF+:SPLC16, tool, no evaluation"
" Gabriela Sampaio,  Paulo Borba,  Leopoldo Teixeira",SPLC,2016,"Partially Safe Evolution of Software Product Lines","static analysis","family-based analysis","implementation independent","","theory","SBT:SPLC16subsumedbySBT:JSS19, evaluation"
" Thomas Th&uuml;m,  Marcio Ribeiro,  Reimar Schr&ouml;ter,  Janet Siegmund,  Francisco Dalton",SPLC,2016,"Product-Line Maintenance With Emergent Contract Interfaces","data-flow analysis","family-based analysis","preprocessor, family-based implementation","family-based specification","source code","TRS+:SPLC16, no tool, evaluation"
" Thiago N. Ferreira,  Josiel Neumann Kuk,  Aurora Pozo,  Silvia Regina Vergilio",CEC,2016,"Product Selection Based on Upper Confidence Bound MOEA/D-DRA for Testing Software Product Lines","testing","sample-based analysis","implementation independent","specification independent","program","FKPV:CEC16"
" Maurice H. ter Beek,  Erik P. de Vink,  Tim A. C. Willemse",FMSPLE,2016,"Towards a Feature mu-Calculus Targeting SPL Verification","model checking","family-based analysis","family-based implementation","family-based specification","design","BVW:FMSPLE16subsumedbyBVW:FASE17, tool, proof, no evaluation, mCRL2"
"David Wille, Sandro Schulze, Christoph Seidl, Ina Schaefer",SANER,2016,"Custom-Tailored Variability Mining for Block-Based Languages","variant-preserving migration","product-family-based analysis","clone-and-own, product-based implementation","specification independent","model","WSSS:SANER16"
" Thomas Th&uuml;m,  Tim Winkelmann,  Reimar Schr&ouml;ter,  Martin Hentschel,  Stefan Kr&uuml;ger",VAMOS,2016,"Variability Hiding in Contracts for Dependent Software Product Lines","theorem proving","family-based analysis","feature modules, composition-based implementation","feature-based specification","source code","TWS+:VaMoS16, KeY, FeatureIDE, variability encoding, variability abstraction"
" Flavio Medeiros,  Christian K&auml;stner,  Marcio Ribeiro,  Rohit Gheyi,  Sven Apel",ICSE,2016,"A Comparison of 10 Sampling Algorithms for Configurable Systems","analysis method undefined","sample-based analysis","implementation independent","","","MKR+:ICSE16, tool, evaluation"
" Ferruccio Damiani,  Michael Lienhardt",IFM,2016,"On Type Checking Delta-Oriented Product Lines","type checking","family-based analysis","delta modules, family-based implementation","domain-independent specification","","DL:iFM16, SAT, proof"
" Maurice H. ter Beek,  Axel Legay,  Alberto Lluch Lafuente,  Andrea Vandin",ISOLA,2016,"Statistical Model Checking for Product Lines","statistical model checking","unoptimized product-based analysis","family-based implementation","family-based specification","design","BLLV:ISoLA16, tool, evaluation, no proof, QFLan, MultiVeSta, SMT, Maude"
" Maurice H. ter Beek,  Michel A. Reniers,  Erik P. de Vink",ISOLA,2016,"Supervisory Controller Synthesis for Product Lines Using CIF 3","synthesis","unoptimized product-based analysis","feature-based implementation","family-based specification","design","BRV:ISoLA16, tool, no evaluation, no proof, CIF3"
"David Wille, Michael Tiede, Sandro Schulze, Christoph Seidl, Ina Schaefer",ISOLA,2016,"Identifying Variability in Object-Oriented Code Using Model-Based Code Mining","variant-preserving migration","product-based analysis","clone-and-own, product-based implementation","specification independent","source code","WTS+:ISoLA16"
" Stefan Fischer,  Roberto E. Lopez-Herrejon,  Rudolf Ramler,  Alexander Egyed",SBST,2016,"A Preliminary Empirical Assessment of Similarity for Combinatorial Interaction Testing of Software Product Lines","testing","sample-based analysis","implementation independent","specification independent","program","FLRE:SBST16, no tool, evaluation"
" Emilio Incerto,  Mirco Tribastone,  Catia Trubiani",SEAMS,2016,"Symbolic Performance Adaptation","symbolic analysis","family-based analysis","implementation independent","family-based specification","program","ITT:SEAMS16, non-functional properties, runtime adaptation, no tool, SMT"
" Rafael Olaechea,  Uli Fahrenberg,  Joanne M. Atlee,  Axel Legay",SPLC,2016,"Long-Term Average Cost in Featured Transition Systems","performance analysis","family-based analysis","preprocessor, family-based implementation","specification independent","design","OFAL:SPLC16, tool, evaluation, FTS, fPromela"
"Lorenzo Bettini, Ferruccio Damiani, Ina Schaefer",SCP,2015,"Implementing Type-Safe Software Product Lines Using Parametric Traits","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","BDS:SCP14, CSUR14, PhD15"
" Jan Midtgaard,  Aleksandar S. Dimovski,  Claus Brabrand,  Andrzej Wasowski",SCP,2015,"Systematic Derivation of Correct Variability-Aware Program Analyses","static analysis","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","MDBW:SCP15"
"Mahsa Varshosaz, Harsh Beohar, Mohammad Reza Mousavi",ICFEM,2015,"Delta-Oriented FSM-Based Testing","test-case generation, testing","regression-based analysis","implementation independent","feature-based specification","design","VBM:ICFEM15, delta models, finite state machines"
" Rui Angelo Matnei Filho,  Silvia Regina Vergilio",SBES,2015,"A Mutation and Multi-Objective Test Data Generation Approach for Feature Testing of Software Product Lines","testing","sample-based analysis","implementation independent","specification independent","program","MFV:SBES15subsumedbyMFV:JSERD16"
"Tessa Belder,  Maurice H. ter Beek, Erik P. de Vink",FMSPLE,2015,"Coherent Branching Feature Bisimulation","model checking","family-based analysis","family-based implementation","family-based specification","design","BBV:FMSPLE15, evaluation, proof, FTS, mCRL2"
" Maurice H. ter Beek, Axel Legay, Alberto Lluch-Lafuente, Andrea Vandin",FMSPLE,2015,"Quantitative Analysis of Probabilistic Models of Software Product Lines with Statistical Model Checking","statistical model checking","unoptimized product-based analysis","family-based implementation","family-based specification","design","BLLV:FMSPLE15, tool, evaluation, no proof, PFLan, MultiVeSta, SMT, Maude"
"Paolo Arcaini, Angelo Gargantini, Paolo Vavassori",ICST,2015,"Generating Tests for Detecting Faults in Feature Models","","","","","","AGV:ICST15"
" Matthias Kowal,  Max Tschaikowski,  Mirco Tribastone,  Ina Schaefer",ASE,2015,"Scaling Size and Parameter Spaces in Variability-Aware Software Performance Models","performance analysis","family-product-based analysis","delta modules, family-based implementation","specification independent","design","KTTS:ASE15, no tool, evaluation, no proof"
"Aleksandar S. Dimovski, Claus Brabrand, Andrzej Wasowski",ECOOP,2015,"Variability Abstractions: Trading Precision for Speed in Family-Based Analyses","data-flow analysis","family-based analysis","preprocessor, family-based implementation","domain-independent specification","source code","DBW:ECOOP15subsumedbyDBW:SCP18, tool, evaluation"
" Shoham Ben-David,  Baruch Sterin,  Joanne M. Atlee,  Sandy Beidu",ICSE,2015,"Symbolic Model Checking of Product-Line Requirements Using SAT-Based Methods","model checking","family-based analysis","runtime variability, family-based implementation","family-wide specification, feature-based specification","design","BSAB:ICSE15, proof, tool, evaluation, CTL, SAT, BDD"
" Stefan Fischer,  Lukas Linsbauer,  Roberto E. Lopez-Herrejon,  Alexander Egyed",ICSE,2015,"The ECCO Tool: Extraction and Composition for Clone-and-Own","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","FLLE:ICSE15, tool, evaluation"
" Maurice H. ter Beek,  Ferruccio Damiani,  Stefania Gnesi,  Franco Mazzanti,  Luca Paolini",SEFM,2015,"From Featured Transition Systems to Modal Transition Systems With Variability Constraints","analysis method undefined","analysis strategy undefined","family-based implementation","specification undefined","design","BDG+:SEFM15subsumedbyBDG+:SCP19, no tool, no evaluation, proof, FTS, MTS"
" Maurice H. ter Beek,  Alessandro Fantechi,  Stefania Gnesi,  Franco Mazzanti",SPLAT,2015,"Using FMC for Family-Based Analysis of Software Product Lines","model checking","family-based analysis","family-based implementation","family-wide specification","design","BFGM:SPLat15, no tool, no proof, no evaluation, FMC"
" Maurice H. ter Beek,  Axel Legay,  Alberto Lluch Lafuente,  Andrea Vandin",SPLC,2015,"Statistical Analysis of Probabilistic Models of Software Product Lines With Quantitative Constraints","statistical model checking","unoptimized product-based analysis","family-based implementation","family-based specification","design","BLLV:SPLC15, tool, evaluation, no proof, QFLan, MultiVeSta, SMT, Maude"
" Dennis Reuling,  Johannes B&uuml;rdek,  Serge Rot&auml;rmel,  Malte Lochau,  Udo Kelter",SPLC,2015,"Fault-Based Product-Line Testing: Effective Sample Generation Based on Feature-Diagram Mutation","","","","","","RBR+:SPLC15"
" Lukas Linsbauer,  Stefan Fischer,  Roberto E. Lopez-Herrejon,  Alexander Egyed",SST,2015,"Using Traceability for Incremental Construction and Evolution of Software Product Portfolios","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","LFLE:SST15, tool, evaluation"
" Xavier Devroey,  Gilles Perrouin,  Axel Legay,  Pierre-Yves Schobbens,  Patrick Heymans",VAMOS,2015,"Covering SPL Behaviour With Sampled Configurations: An Initial Assessment","feature-model analysis","sample-based analysis","implementation independent","specification independent","","DPL+:VaMoS15, evaluation, FTS"
" Christopher Henard,  Mike Papadakis,  Gilles Perrouin,  Jacques Klein,  Patrick Heymans,  Yves Le Traon",TSE,2014,"Bypassing the Combinatorial Explosion: Using Similarity to Generate and Prioritize T-Wise Test Configurations for Software Product Lines","","","","","","HPP+:TSE14"
" Hamideh Sabouri,  Ramtin Khosravi",SCP,2014,"Reducing the Verification Cost of Evolving Product Families Using Static Analysis Techniques","model checking, static analysis","family-based analysis","annotation-based implementation","family-wide specification","design","SK:SCP14, CSUR14, PhD15"
" Sheng Chen,  Martin Erwig,  Eric Walkingshaw",TOPLAS,2014,"Extending Type Inference to Variational Programs","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","CEW:TOPLAS14, compared to product-based (unoptimized), CSUR14, PhD15"
"Andreas Classen, Maxime Cordy, Patrick Heymans, Axel Legay, Pierre-Yves Schobbens",SCP,2014,"Formal Semantics, Modular Specification, and Symbolic Verification of Product-Line Behaviour","model checking","family-based analysis","composition-based implementation","family-based specification","design","CCH+:SCP14, PhD15"
" Anastasia Cmyrev,  Ralf Reissing",IJAST,2014,"Efficient and Effective Testing of Automotive Software Product Lines","testing","sample-based analysis","implementation independent","specification independent","program","CR:IJAST14"
"Felype Ferreira, Rohit Gheyi, Paulo Borba, Gustavo Soares",JUCS,2014,"A Toolset for Checking SPL Refinements","refactoring","regression-based analysis","","specification independent","source code","FGFS:JUCS14, tool, evaluation"
"Alexander Grebhahn, Sebastian Kuckuk, Christian Schmitt, Harald K&ouml;stler, Norbert Siegmund, Sven Apel, Frank Hannig, J&uuml;rgen Teich",PPL,2014,"Experiments on Optimizing the Performance of Stencil Codes With SPL Conqueror","performance analysis","sample-based analysis","implementation independent","specification independent","program","GKS+:PPL14"
" Christopher Henard,  Mike Papadakis,  Yves Le Traon",(incollection),2014,"Mutation-Based Generation of Software Product Line Test Configurations","","","","","","HPL:SBSE14"
"Yufeng Shi, Ou Wei, Yu Zhou",INNOSWDEV,2014,"Model Checking Partial Software Product Line Designs","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","SWZ:InnoSWDev14, PhD15"
"Richard Bubel, Reiner H&auml;hnle, Maria Pelevina",ISOLA,2014,"Fully Abstract Operation Contracts","theorem proving","regression-based analysis","product-based implementation","product-based specification","source code","BHP:ISoLA14"
