Authors,Venue,Year,Title,Category,Detailed,Further Tags,Key
" Ismayle S Santos,  Rossana MC Andrade,  Pedro A Santos Neto",JSERD,2015,"Templates for Textual Use Cases of Software Product Lines: Results From a Systematic Mapping Study and a Controlled Experiment","solution space","","requirements",SAS:JSERD15
" Noor Hasrina Bakar,  Zarinah M Kasirun,  Norsaremah Salleh",JSS,2015,"Feature Extraction Approaches From Natural Language Requirements for Reuse in Software Product Lines: A Systematic Literature Review","solution space","reengineering","migration",BKS:JSS15
" Holger Eichelberger,  Klaus Schmid",STTT,2015,"Mapping the Design Space of Textual Variability Modeling Languages: A Refined Analysis","problem space","representation","",ES:STTT15
"Roberto E. Lopez-Herrejon, Stefan Fischer, Rudolf Ramler, Aalexander Egyed",IWCT,2015,"A First Systematic Mapping Study on Combinatorial Interaction Testing for Software Product Lines","solution space","quality assurance","dynamic analysis, sampling",LFRE:IWCT15
" Fabian Benduhn,  Thomas Th&uuml;m,  Malte Lochau,  Thomas Leich,  Gunter Saake",VAMOS,2015,"A Survey on Modeling Techniques for Formal Behavioral Verification of Software Product Lines","solution space","architecture, design","",BTL+:VaMoS15
" Alcemir Rodrigues Santos,  Raphael Pereira de Oliveira,  Eduardo Santana de Almeida",EASE,2015,"Strategies for Consistency Checking on Software Product Lines: A Mapping Study","problem space, solution space","","",SDD:EASE15
" Roberto E Lopez-Herrejon,  Lukas Linsbauer,  Wesley KG Assuncao,  Stefan Fischer,  Silvia R Vergilio,  Alexander Egyed",GECCO,2015,"Genetic Improvement for Software Product Lines: An Overview and a Roadmap","solution space","reengineering","",LLA+:GECCO15
" Iris Groher,  Rainer Weinreich",HICSS,2015,"Variability Support in Architecture Knowledge Management Approaches: A Systematic Literature Review","solution space","architecture, design","",GW:HICSS15
" Juliana Alves Pereira,  Kattiana Constantino,  Eduardo Figueiredo",ICSR,2015,"A Systematic Literature Review of Software Product Line Management Tools","problem space, solution space","tool support","",PCF:ICSR15
" Gabriela Guedes,  Carla Silva,  Monique Soares,  Jaelson Castro",SBCARS,2015,"Variability Management in Dynamic Software Product Lines: A Systematic Mapping","problem space, solution space","pl technique application","dynamic spl",GSSC:SBCARS15
" Crescencio Rodrigues Lima Neto,  Mateus Passos Soares Cardoso,  Christina von Flach Garcia Chavez,  Eduardo Santana De Almeida",SBCARS,2015,"Initial Evidence for Understanding the Relationship Between Product Line Architecture and Software Architecture Recovery","solution space","architecture, design","",NCCD:SBCARS15
" Thomas Th&uuml;m,  Sven Apel,  Christian K&auml;stner,  Ina Schaefer,  Gunter Saake",CSUR,2014,"A Classification and Survey of Analysis Strategies for Software Product Lines","solution space","quality assurance","static analysis",TAK+:CSUR14
" Ivan Do Carmo Machado,  John D. McGregor,  Yguarata Cerqueira Cavalcanti,  Eduardo Santana De Almeida",IST,2014,"On Strategies for Testing Software Product Lines: A Systematic Literature Review","solution space","quality assurance","dynamic analysis",MMCA:IST14
